ratio,k,num_queries,num_target_docs,num_pool_docs,precision@k_raw,precision@k_norm,precision@k_scaled,recall@k,attack_success@k,mrr@k,avg_rank_first_target,source_file,num_poisoned_docs,avg_rank_first_poison,avg_poison_in_top10,avg_targeted_in_top10,num_targeted_docs,custom_precision@k
ratio_1_5_percent,,15232,,5446,,,,,,,,avg_targeted_in_top10.csv,,,,0.3409,157.0,
ratio_2_0_percent,,15232,,5446,,,,,,,,avg_targeted_in_top10.csv,,,,0.3409,157.0,
ratio_2_5_percent,,15232,,5446,,,,,,,,avg_targeted_in_top10.csv,,,,0.3409,157.0,
ratio_3_0_percent,,15232,,5233,,,,,,,,avg_targeted_in_top10.csv,,,,0.3573,157.0,
ratio_0_1_percent,1.0,15232,,5446,,,,,,,,custom_p_at_k_poison.csv,157.0,,,,,3.571429
ratio_0_1_percent,3.0,15232,,5446,,,,,,,,custom_p_at_k_poison.csv,157.0,,,,,3.437938
ratio_0_1_percent,5.0,15232,,5446,,,,,,,,custom_p_at_k_poison.csv,157.0,,,,,3.453256
ratio_0_1_percent,10.0,15232,,5446,,,,,,,,custom_p_at_k_poison.csv,157.0,,,,,3.40927
ratio_0_5_percent,1.0,15232,,5446,,,,,,,,custom_p_at_k_poison.csv,157.0,,,,,3.571429
ratio_0_5_percent,3.0,15232,,5446,,,,,,,,custom_p_at_k_poison.csv,157.0,,,,,3.437938
ratio_0_5_percent,5.0,15232,,5446,,,,,,,,custom_p_at_k_poison.csv,157.0,,,,,3.453256
ratio_0_5_percent,10.0,15232,,5446,,,,,,,,custom_p_at_k_poison.csv,157.0,,,,,3.40927
ratio_1_0_percent,1.0,15232,,5446,,,,,,,,custom_p_at_k_poison.csv,157.0,,,,,3.571429
ratio_1_0_percent,3.0,15232,,5446,,,,,,,,custom_p_at_k_poison.csv,157.0,,,,,3.437938
ratio_1_0_percent,5.0,15232,,5446,,,,,,,,custom_p_at_k_poison.csv,157.0,,,,,3.453256
ratio_1_0_percent,10.0,15232,,5446,,,,,,,,custom_p_at_k_poison.csv,157.0,,,,,3.40927
ratio_1_5_percent,1.0,15232,,5446,,,,,,,,custom_p_at_k_poison.csv,157.0,,,,,3.571429
ratio_1_5_percent,3.0,15232,,5446,,,,,,,,custom_p_at_k_poison.csv,157.0,,,,,3.437938
ratio_1_5_percent,5.0,15232,,5446,,,,,,,,custom_p_at_k_poison.csv,157.0,,,,,3.453256
ratio_1_5_percent,10.0,15232,,5446,,,,,,,,custom_p_at_k_poison.csv,157.0,,,,,3.40927
ratio_2_0_percent,1.0,15232,,5446,,,,,,,,custom_p_at_k_poison.csv,157.0,,,,,3.571429
ratio_2_0_percent,3.0,15232,,5446,,,,,,,,custom_p_at_k_poison.csv,157.0,,,,,3.437938
ratio_2_0_percent,5.0,15232,,5446,,,,,,,,custom_p_at_k_poison.csv,157.0,,,,,3.453256
ratio_2_0_percent,10.0,15232,,5446,,,,,,,,custom_p_at_k_poison.csv,157.0,,,,,3.40927
ratio_2_5_percent,1.0,15232,,5446,,,,,,,,custom_p_at_k_poison.csv,157.0,,,,,3.571429
ratio_2_5_percent,3.0,15232,,5446,,,,,,,,custom_p_at_k_poison.csv,157.0,,,,,3.437938
ratio_2_5_percent,5.0,15232,,5446,,,,,,,,custom_p_at_k_poison.csv,157.0,,,,,3.453256
ratio_2_5_percent,10.0,15232,,5446,,,,,,,,custom_p_at_k_poison.csv,157.0,,,,,3.40927
ratio_3_0_percent,1.0,15232,,5233,,,,,,,,custom_p_at_k_poison.csv,157.0,,,,,3.702731
ratio_3_0_percent,3.0,15232,,5233,,,,,,,,custom_p_at_k_poison.csv,157.0,,,,,3.641457
ratio_3_0_percent,5.0,15232,,5233,,,,,,,,custom_p_at_k_poison.csv,157.0,,,,,3.629202
ratio_3_0_percent,10.0,15232,,5233,,,,,,,,custom_p_at_k_poison.csv,157.0,,,,,3.573398
ratio_0_1_percent,1.0,15232,157.0,5446,,,,,,,,custom_p_at_k_targetted.csv,,,,,,3.571429
ratio_0_1_percent,3.0,15232,157.0,5446,,,,,,,,custom_p_at_k_targetted.csv,,,,,,3.437938
ratio_0_1_percent,5.0,15232,157.0,5446,,,,,,,,custom_p_at_k_targetted.csv,,,,,,3.453256
ratio_0_1_percent,10.0,15232,157.0,5446,,,,,,,,custom_p_at_k_targetted.csv,,,,,,3.40927
ratio_0_5_percent,1.0,15232,157.0,5446,,,,,,,,custom_p_at_k_targetted.csv,,,,,,3.571429
ratio_0_5_percent,3.0,15232,157.0,5446,,,,,,,,custom_p_at_k_targetted.csv,,,,,,3.437938
ratio_0_5_percent,5.0,15232,157.0,5446,,,,,,,,custom_p_at_k_targetted.csv,,,,,,3.453256
ratio_0_5_percent,10.0,15232,157.0,5446,,,,,,,,custom_p_at_k_targetted.csv,,,,,,3.40927
ratio_1_0_percent,1.0,15232,157.0,5446,,,,,,,,custom_p_at_k_targetted.csv,,,,,,3.571429
ratio_1_0_percent,3.0,15232,157.0,5446,,,,,,,,custom_p_at_k_targetted.csv,,,,,,3.437938
ratio_1_0_percent,5.0,15232,157.0,5446,,,,,,,,custom_p_at_k_targetted.csv,,,,,,3.453256
ratio_1_0_percent,10.0,15232,157.0,5446,,,,,,,,custom_p_at_k_targetted.csv,,,,,,3.40927
ratio_1_5_percent,1.0,15232,157.0,5446,,,,,,,,custom_p_at_k_targetted.csv,,,,,,3.571429
ratio_1_5_percent,3.0,15232,157.0,5446,,,,,,,,custom_p_at_k_targetted.csv,,,,,,3.437938
ratio_1_5_percent,5.0,15232,157.0,5446,,,,,,,,custom_p_at_k_targetted.csv,,,,,,3.453256
ratio_1_5_percent,10.0,15232,157.0,5446,,,,,,,,custom_p_at_k_targetted.csv,,,,,,3.40927
ratio_2_0_percent,1.0,15232,157.0,5446,,,,,,,,custom_p_at_k_targetted.csv,,,,,,3.571429
ratio_2_0_percent,3.0,15232,157.0,5446,,,,,,,,custom_p_at_k_targetted.csv,,,,,,3.437938
ratio_2_0_percent,5.0,15232,157.0,5446,,,,,,,,custom_p_at_k_targetted.csv,,,,,,3.453256
ratio_2_0_percent,10.0,15232,157.0,5446,,,,,,,,custom_p_at_k_targetted.csv,,,,,,3.40927
ratio_2_5_percent,1.0,15232,157.0,5446,,,,,,,,custom_p_at_k_targetted.csv,,,,,,3.571429
ratio_2_5_percent,3.0,15232,157.0,5446,,,,,,,,custom_p_at_k_targetted.csv,,,,,,3.437938
ratio_2_5_percent,5.0,15232,157.0,5446,,,,,,,,custom_p_at_k_targetted.csv,,,,,,3.453256
ratio_2_5_percent,10.0,15232,157.0,5446,,,,,,,,custom_p_at_k_targetted.csv,,,,,,3.40927
ratio_3_0_percent,1.0,15232,157.0,5233,,,,,,,,custom_p_at_k_targetted.csv,,,,,,3.702731
ratio_3_0_percent,3.0,15232,157.0,5233,,,,,,,,custom_p_at_k_targetted.csv,,,,,,3.641457
ratio_3_0_percent,5.0,15232,157.0,5233,,,,,,,,custom_p_at_k_targetted.csv,,,,,,3.629202
ratio_3_0_percent,10.0,15232,157.0,5233,,,,,,,,custom_p_at_k_targetted.csv,,,,,,3.573398
